MARKET_PLACE,Product_code,Segment,Customer_Site_ID
GREATER CAPITAL,D3,Seg 1-3,116
NORTH FLORIDA,D3,Seg 1-3,174
NORTH FLORIDA,A5,Seg 4-6,255
NORTH FLORIDA,F1,Seg 1-3,465
GREATER CAPITAL,D3,Seg 1-3,505
NORTH FLORIDA,D1,Seg 1-3,630
GREATER CAPITAL,D4,Seg 4-6,669
GREATER CAPITAL,D4,Seg 4-6,695
GREATER CAPITAL,D4,Seg 4-6,695
GREATER CAPITAL,F1,Seg 1-3,695
GREATER CAPITAL,F1,Seg 1-3,695
GREATER CAPITAL,F1,Seg 1-3,695
NORTH FLORIDA,D4,Seg 4-6,784
NORTH FLORIDA,F1,Seg 1-3,952
NORTH FLORIDA,F1,Seg 1-3,952
NORTH FLORIDA,F1,Seg 1-3,952
NORTH FLORIDA,D1,Seg 1-3,1096
NORTH FLORIDA,F1,Seg 1-3,1239
GREATER CAPITAL,D3,Seg 1-3,1317
NORTH FLORIDA,D3,Seg 1-3,1324
GREATER CAPITAL,D3,Seg 1-3,1418
GREATER CAPITAL,D3,Seg 1-3,1545
GREATER CAPITAL,D3,Seg 1-3,1588
GREATER CAPITAL,D3,Seg 1-3,1615
NORTH FLORIDA,D5,Seg 4-6,1627
NORTH FLORIDA,D5,Seg 4-6,1627
GREATER CAPITAL,F1,Seg 1-3,1634
NORTH FLORIDA,F1,Seg 1-3,1726
GREATER CAPITAL,A2,Seg 1-3,1745
GREATER CAPITAL,F1,Seg 1-3,1753
GREATER CAPITAL,A2,Seg 1-3,1754
GREATER CAPITAL,A2,Seg 1-3,1754
GREATER CAPITAL,D3,Seg 1-3,1754
GREATER CAPITAL,D1,Seg 1-3,1808
NORTH FLORIDA,D4,Seg 4-6,1830
NORTH FLORIDA,F1,Seg 1-3,1830
GREATER CAPITAL,A2,Seg 1-3,1896
NORTH FLORIDA,D4,Seg 4-6,1907
GREATER CAPITAL,D3,Seg 1-3,1990
NORTH FLORIDA,F1,Seg 1-3,2056
NORTH FLORIDA,D3,Seg 1-3,2104
NORTH FLORIDA,D3,Seg 1-3,2104
NORTH FLORIDA,D3,Seg 1-3,2104
NORTH FLORIDA,D3,Seg 1-3,2104
NORTH FLORIDA,D3,Seg 1-3,2104
GREATER CAPITAL,D3,Seg 1-3,2326
NORTH FLORIDA,D3,Seg 1-3,2329
GREATER CAPITAL,D3,Seg 1-3,2446
NORTH FLORIDA,D3,Seg 1-3,2594
GREATER CAPITAL,D2,Seg 1-3,2607
GREATER CAPITAL,D2,Seg 1-3,2607
GREATER CAPITAL,D2,Seg 1-3,2607
GREATER CAPITAL,D2,Seg 1-3,2607
GREATER CAPITAL,D2,Seg 1-3,2607
GREATER CAPITAL,D2,Seg 1-3,2607
GREATER CAPITAL,D2,Seg 1-3,2607
GREATER CAPITAL,D2,Seg 1-3,2607
GREATER CAPITAL,D4,Seg 4-6,2607
GREATER CAPITAL,D4,Seg 4-6,2607
NORTH FLORIDA,A2,Seg 1-3,2631
NORTH FLORIDA,A2,Seg 1-3,2850
NORTH FLORIDA,A2,Seg 1-3,2850
NORTH FLORIDA,A4,Seg 4-6,2850
NORTH FLORIDA,A4,Seg 4-6,2850
NORTH FLORIDA,D2,Seg 1-3,3050
GREATER CAPITAL,D3,Seg 1-3,3088
NORTH FLORIDA,F1,Seg 1-3,3541
NORTH FLORIDA,D3,Seg 1-3,3707
GREATER CAPITAL,F1,Seg 1-3,3729
NORTH FLORIDA,D4,Seg 4-6,3784
NORTH FLORIDA,A2,Seg 1-3,3826
GREATER CAPITAL,D3,Seg 1-3,4018
GREATER CAPITAL,C1,Seg 1-3,4693
GREATER CAPITAL,A1,Seg 1-3,5064
NORTH FLORIDA,D3,Seg 1-3,5117
GREATER CAPITAL,D4,Seg 4-6,5118
GREATER CAPITAL,C2,Seg 1-3,5129
GREATER CAPITAL,C2,Seg 1-3,5155
GREATER CAPITAL,D4,Seg 4-6,5213
GREATER CAPITAL,D4,Seg 4-6,5303
NORTH FLORIDA,A2,Seg 1-3,5348
GREATER CAPITAL,D3,Seg 1-3,5352
GREATER CAPITAL,D3,Seg 1-3,5371
NORTH FLORIDA,D2,Seg 1-3,5435
GREATER CAPITAL,D3,Seg 1-3,5609
GREATER CAPITAL,D1,Seg 1-3,5609
GREATER CAPITAL,D3,Seg 1-3,5661
NORTH FLORIDA,F1,Seg 1-3,5695
NORTH FLORIDA,D3,Seg 1-3,5711
GREATER CAPITAL,D4,Seg 4-6,5732
GREATER CAPITAL,D1,Seg 1-3,5840
NORTH FLORIDA,D5,Seg 4-6,5885
NORTH FLORIDA,D3,Seg 1-3,5886
GREATER CAPITAL,A4,Seg 4-6,5895
GREATER CAPITAL,D3,Seg 1-3,5895
NORTH FLORIDA,D1,Seg 1-3,5982
NORTH FLORIDA,A3,Seg 1-3,6000
GREATER CAPITAL,F1,Seg 1-3,6013
GREATER CAPITAL,F1,Seg 1-3,6045
NORTH FLORIDA,D3,Seg 1-3,6065
NORTH FLORIDA,D1,Seg 1-3,6151
NORTH FLORIDA,F1,Seg 1-3,6227
NORTH FLORIDA,D3,Seg 1-3,6235
GREATER CAPITAL,F1,Seg 1-3,6239
NORTH FLORIDA,D2,Seg 1-3,6333
NORTH FLORIDA,F1,Seg 1-3,6816
PACIFIC NORTHWEST,D1,Seg 1-3,6838
NORTH FLORIDA,D2,Seg 1-3,6899
PACIFIC NORTHWEST,D5,Seg 4-6,7086
GREATER CAPITAL,A2,Seg 1-3,7250
PACIFIC NORTHWEST,D3,Seg 1-3,7261
GREATER CAPITAL,D5,Seg 4-6,7392
NORTH FLORIDA,D3,Seg 1-3,7415
GREATER CAPITAL,D3,Seg 1-3,7428
GREATER CAPITAL,F1,Seg 1-3,7432
NORTH FLORIDA,D4,Seg 4-6,7491
NORTH FLORIDA,A1,Seg 1-3,7493
NORTH FLORIDA,D3,Seg 1-3,7493
GREATER CAPITAL,D3,Seg 1-3,7627
GREATER CAPITAL,F1,Seg 1-3,7779
NORTH FLORIDA,A3,Seg 1-3,7788
GREATER CAPITAL,D3,Seg 1-3,7881
NORTH FLORIDA,F1,Seg 1-3,7981
GREATER CAPITAL,D3,Seg 1-3,8024
GREATER CAPITAL,A2,Seg 1-3,8029
NORTH FLORIDA,A1,Seg 1-3,8033
GREATER CAPITAL,D4,Seg 4-6,8096
SOUTH FLORIDA,D2,Seg 1-3,8255
GREATER CAPITAL,D1,Seg 1-3,8359
PACIFIC NORTHWEST,A2,Seg 1-3,8388
NORTH FLORIDA,D2,Seg 1-3,8416
PACIFIC NORTHWEST,A1,Seg 1-3,8435
NORTH FLORIDA,D2,Seg 1-3,8479
NORTH FLORIDA,A4,Seg 4-6,8539
NORTH FLORIDA,A2,Seg 1-3,8541
NORTH FLORIDA,D3,Seg 1-3,8551
GREATER CAPITAL,D1,Seg 1-3,8558
NORTH FLORIDA,A2,Seg 1-3,8562
NORTH FLORIDA,D2,Seg 1-3,8592
NORTH FLORIDA,D3,Seg 1-3,8677
NORTH FLORIDA,D2,Seg 1-3,8757
NORTH FLORIDA,A2,Seg 1-3,9107
NORTH FLORIDA,D3,Seg 1-3,9406
GREATER CAPITAL,A5,Seg 4-6,9483
PACIFIC NORTHWEST,F1,Seg 1-3,9623
GREATER CAPITAL,D4,Seg 4-6,9723
GREATER PHILADELPHIA,D1,Seg 1-3,9866
GREATER PHILADELPHIA,D5,Seg 4-6,10051
GREATER PHILADELPHIA,D5,Seg 4-6,10051
GREATER PHILADELPHIA,D3,Seg 1-3,10079
GREATER PHILADELPHIA,F1,Seg 1-3,10106
GREATER PHILADELPHIA,A2,Seg 1-3,10125
GREATER PHILADELPHIA,A5,Seg 4-6,10156
GREATER CAPITAL,D4,Seg 4-6,10326
NORTH FLORIDA,A4,Seg 4-6,10333
NORTH FLORIDA,D2,Seg 1-3,10347
GREATER PHILADELPHIA,F1,Seg 1-3,10442
GREATER PHILADELPHIA,F1,Seg 1-3,10490
GREATER CAPITAL,A2,Seg 1-3,10575
NORTH FLORIDA,D3,Seg 1-3,10639
NORTH FLORIDA,D3,Seg 1-3,10679
NORTH FLORIDA,D3,Seg 1-3,10742
NORTH FLORIDA,D4,Seg 4-6,10748
GREATER PHILADELPHIA,D3,Seg 1-3,10940
NORTH FLORIDA,D4,Seg 4-6,11015
NORTH FLORIDA,D3,Seg 1-3,11097
GREATER PHILADELPHIA,D1,Seg 1-3,11154
GREATER PHILADELPHIA,D1,Seg 1-3,11154
GREATER PHILADELPHIA,D1,Seg 1-3,11154
GREATER PHILADELPHIA,C2,Seg 1-3,11240
GREATER PHILADELPHIA,D4,Seg 4-6,11240
GREATER PHILADELPHIA,D4,Seg 4-6,11240
GREATER PHILADELPHIA,F1,Seg 1-3,11304
GREATER PHILADELPHIA,D2,Seg 1-3,11557
GREATER PHILADELPHIA,D3,Seg 1-3,11557
GREATER PHILADELPHIA,D3,Seg 1-3,11557
GREATER PHILADELPHIA,D5,Seg 4-6,11557
GREATER PHILADELPHIA,F1,Seg 1-3,11557
GREATER PHILADELPHIA,F1,Seg 1-3,11557
GREATER PHILADELPHIA,F1,Seg 1-3,11557
GREATER PHILADELPHIA,D4,Seg 4-6,11557
GREATER PHILADELPHIA,D1,Seg 1-3,11557
NORTH FLORIDA,D3,Seg 1-3,11573
NORTH FLORIDA,F1,Seg 1-3,11573
NORTH FLORIDA,D4,Seg 4-6,11631
GREATER PHILADELPHIA,D4,Seg 4-6,11696
NORTH FLORIDA,A2,Seg 1-3,11785
GREATER PHILADELPHIA,A1,Seg 1-3,11881
GREATER PHILADELPHIA,A1,Seg 1-3,11906
PACIFIC NORTHWEST,D3,Seg 1-3,12110
PACIFIC NORTHWEST,D4,Seg 4-6,12110
GREATER PHILADELPHIA,F1,Seg 1-3,12147
GREATER PHILADELPHIA,D4,Seg 4-6,12147
GREATER PHILADELPHIA,D4,Seg 4-6,12147
GREATER PHILADELPHIA,F1,Seg 1-3,12147
GREATER PHILADELPHIA,F1,Seg 1-3,12147
GREATER PHILADELPHIA,D4,Seg 4-6,12355
NORTH FLORIDA,F1,Seg 1-3,12357
NORTH FLORIDA,D2,Seg 1-3,12547
NORTH FLORIDA,F1,Seg 1-3,12551
GREATER PHILADELPHIA,D3,Seg 1-3,12578
GREATER PHILADELPHIA,F1,Seg 1-3,12583
NORTH FLORIDA,D3,Seg 1-3,12628
GREATER PHILADELPHIA,A2,Seg 1-3,12923
NORTH FLORIDA,A2,Seg 1-3,13042
PACIFIC NORTHWEST,D4,Seg 4-6,13160
NORTH FLORIDA,D2,Seg 1-3,13695
